entry_id,anger_praat,anger_hume,fear_praat,fear_hume,joy_praat,joy_hume,sadness_praat,sadness_hume,surprise_praat,surprise_hume
id_001_neg,0.209,0.2,0.196,0.12,0.202,0.51,0.192,0.08,0.202,0.09
id_001_pos,0.211,0.152,0.193,0.101,0.198,0.475,0.194,0.131,0.204,0.141
id_002_neg,0.21,0.2,0.195,0.14,0.197,0.31,0.196,0.21,0.203,0.14
id_002_pos,0.21,0.22,0.197,0.17,0.199,0.29,0.195,0.19,0.198,0.13
id_003_neg,0.208,0.171,0.196,0.159,0.201,0.28,0.193,0.283,0.201,0.108
id_003_pos,0.208,0.2,0.198,0.15,0.204,0.3,0.19,0.22,0.199,0.13
id_0042_neg,0.204,0.35,0.214,0.12,0.206,0.29,0.188,0.15,0.188,0.09
id_0043_neg,0.204,0.424,0.211,0.111,0.205,0.273,0.19,0.101,0.189,0.091
id_004_neg,0.2,0.4,0.217,0.15,0.213,0.23,0.185,0.11,0.185,0.11
id_004_pos,0.202,0.27,0.212,0.18,0.207,0.27,0.19,0.14,0.188,0.14
id_005_neg,0.208,0.21,0.199,0.16,0.205,0.15,0.19,0.34,0.198,0.14
id_005_pos,0.209,0.22,0.197,0.16,0.202,0.14,0.192,0.35,0.201,0.13
id_006_neg,0.201,0.303,0.216,0.273,0.21,0.172,0.186,0.162,0.187,0.091
id_006_pos,0.204,0.263,0.21,0.313,0.203,0.152,0.192,0.172,0.191,0.101
id_007_neg,0.207,0.33,0.199,0.15,0.204,0.27,0.19,0.15,0.199,0.1
id_007_pos,0.208,0.22,0.198,0.15,0.202,0.39,0.192,0.11,0.2,0.13
id_008_neg,0.212,0.317,0.195,0.168,0.2,0.218,0.193,0.218,0.201,0.079
id_008_pos,0.208,0.12,0.196,0.1,0.201,0.6,0.193,0.1,0.202,0.08
id_009_neg,0.205,0.27,0.21,0.14,0.202,0.34,0.192,0.12,0.191,0.13
id_009_pos,0.203,0.228,0.213,0.129,0.207,0.416,0.189,0.129,0.189,0.099
id_010_neg,0.203,0.242,0.213,0.152,0.208,0.293,0.188,0.182,0.189,0.131
id_010_pos,0.203,0.202,0.212,0.172,0.206,0.333,0.19,0.182,0.189,0.111
id_011_neg,0.203,0.16,0.215,0.1,0.209,0.49,0.186,0.12,0.187,0.13
id_011_pos,0.205,0.26,0.209,0.14,0.202,0.27,0.193,0.16,0.19,0.17
id_012_neg,0.209,0.32,0.202,0.15,0.207,0.25,0.19,0.14,0.193,0.14
id_012_pos,0.203,0.28,0.211,0.12,0.213,0.36,0.185,0.1,0.188,0.14
id_013_neg,0.205,0.323,0.21,0.131,0.204,0.222,0.191,0.192,0.191,0.131
id_013_pos,0.203,0.15,0.213,0.09,0.208,0.53,0.188,0.11,0.188,0.12
id_014_neg,0.209,0.26,0.195,0.17,0.199,0.23,0.195,0.23,0.202,0.11
id_014_pos,0.21,0.2,0.194,0.14,0.199,0.33,0.194,0.19,0.202,0.14
id_015_neg,0.209,0.327,0.198,0.178,0.202,0.257,0.195,0.139,0.197,0.099
id_015_pos,0.208,0.354,0.196,0.121,0.201,0.242,0.194,0.152,0.201,0.131
id_016_neg,0.21,0.29,0.196,0.17,0.203,0.18,0.191,0.26,0.2,0.1
id_016_pos,0.208,0.28,0.198,0.14,0.206,0.21,0.189,0.24,0.199,0.13
